"","duration","maxGrip","maxGripTime","maxGripTimeRel","condition","type","period","gripType","num","file","obsisSubj","obsisSession","obsisTrial","fins","stick","stickcm","orientation","stickcmCentered","stickFiveRef","stickNineRef","stickElevenRef","finsSumCoded"
"59",0.466666666666667,75.0590155109018,0.466666666666667,1,"2","ESTIMATION","STEADY",NA,0,"./ABtestENG/GRI_063/GRI_063-SESSION_001-TRIAL_012.csv","063","001","012","open","five",5,"horizontal",-3,"five","five","five","open"
"60",0.575,70.062731496765,0.466666666666667,0.811594202898551,"3","ESTIMATION","STEADY",NA,0,"./ABtestENG/GRI_063/GRI_063-SESSION_001-TRIAL_012.csv","063","001","012","closed","five",5,"horizontal",-3,"five","five","five","closed"
"61",0.541666666666667,102.710569878544,0.0416666666666667,0.0769230769230769,"4","ESTIMATION","STEADY",NA,0,"./ABtestENG/GRI_063/GRI_063-SESSION_001-TRIAL_012.csv","063","001","012","none","seven",7,"horizontal",-1,"seven","seven","seven","none"
"62",0.658333333333333,104.056323108677,0,0,"5","ESTIMATION","STEADY",NA,0,"./ABtestENG/GRI_063/GRI_063-SESSION_001-TRIAL_012.csv","063","001","012","open","seven",7,"horizontal",-1,"seven","seven","seven","open"
"63",0.616666666666667,118.773123161193,0.616666666666667,1,"8","ESTIMATION","STEADY",NA,0,"./ABtestENG/GRI_063/GRI_063-SESSION_001-TRIAL_012.csv","063","001","012","open","nine",9,"horizontal",1,"nine","nine","nine","open"
"64",0.458333333333333,116.580790985596,0.358333333333333,0.781818181818182,"10","ESTIMATION","STEADY",NA,0,"./ABtestENG/GRI_063/GRI_063-SESSION_001-TRIAL_012.csv","063","001","012","none","eleven",11,"horizontal",3,"eleven","eleven","eleven","none"
"65",0.466666666666667,120.647516982197,0.416666666666667,0.892857142857143,"11","ESTIMATION","STEADY",NA,0,"./ABtestENG/GRI_063/GRI_063-SESSION_001-TRIAL_012.csv","063","001","012","open","eleven",11,"horizontal",3,"eleven","eleven","eleven","open"
"66",0.508333333333333,70.9235557438516,0.025,0.0491803278688525,"1","ESTIMATION","STEADY",NA,0,"./ABtestENG/GRI_063/GRI_063-SESSION_001-TRIAL_013.csv","063","001","013","none","five",5,"horizontal",-3,"five","five","five","none"
"67",0.491666666666667,81.9781046519096,0.0666666666666667,0.135593220338983,"2","ESTIMATION","STEADY",NA,0,"./ABtestENG/GRI_063/GRI_063-SESSION_001-TRIAL_013.csv","063","001","013","open","five",5,"horizontal",-3,"five","five","five","open"
"68",0.358333333333333,69.458758437437,0.35,0.976744186046512,"3","ESTIMATION","STEADY",NA,0,"./ABtestENG/GRI_063/GRI_063-SESSION_001-TRIAL_013.csv","063","001","013","closed","five",5,"horizontal",-3,"five","five","five","closed"
